"|","|__Altbier","|__Amber Kellerbier","|__American Amber Ale","|__American Barleywine","|__American Brown Ale","|__American IPA","|__American Lager","|__American Light Lager","|__American Pale Ale","|__American Porter","|__American Stout","|__American Strong Ale","|__American Wheat Beer","|__Australian Sparkling Ale","|__Baltic Porter","|__Belgian Blond Ale","|__Belgian Dark Strong Ale","|__Belgian Dubbel","|__Belgian Golden Strong Ale","|__Belgian IPA","|__Belgian Pale Ale","|__Belgian Tripel","|__Berliner Weisse","|__Best Bitter","|__Bière de Garde","|__Black IPA","|__Blonde Ale","|__British Brown Ale","|__British Golden Ale","|__British Strong Ale","|__Brown IPA","|__California Common","|__Cream Ale","|__Czech Amber Lager","|__Czech Dark Lager","|__Czech Pale Lager","|__Czech Premium Pale Lager","|__Dark Mild","|__Doppelbock","|__Double IPA","|__Dunkles Bock","|__Dunkles Weissbier","|__Eisbock","|__English Barleywine","|__English IPA","|__English Porter","|__Festbier","|__Flanders Red Ale","|__Foreign Extra Stout","|__Fruit Lambic","|__German Helles Exportbier","|__German Leichtbier","|__German Pils","|__Gose","|__Gueuze","|__Helles Bock","|__Imperial Stout","|__International Amber Lager","|__International Dark Lager","|__International Pale Lager","|__Irish Extra Stout","|__Irish Red Ale","|__Irish Stout","|__Kölsch","|__Kentucky Common","|__Lambic","|__Lichtenhainer","|__London Brown Ale","|__Märzen","|__Munich Dunkel","|__Munich Helles","|__Oatmeal Stout","|__Old Ale","|__Ordinary Bitter","|__Oud Bruin","|__Pale Kellerbier","|__Piwo Grodziskie","|__Rauchbier","|__Red IPA","|__Rye IPA","|__Saison","|__Schwarzbier","|__Scottish Export","|__Scottish Heavy","|__Scottish Light","|__Strong Bitter","|__Sweet Stout","|__Trappist Single","|__Tropical Stout","|__Vienna Lager","|__Wee Heavy","|__Weissbier","|__Weizenbock","|__Wheatwine","|__White IPA","|__Witbier"
"peppercorn","0.4242","0.3103","0.2963","0.5313","0.4878","0.6129","0.3077","0.5517","0.5357","0.6053","0.6","0.2917","0.3939","0.303","0.3636","0.4839","0.4828","0.3939","0.5405","0.6579","0.5161","0.4872","0.6071","0.4444","0.6087","0.7647","0.5","0.5143","0.4138","0.3846","0.5","0.4286","0.6765","0.3333","0.375","0.3846","0.3226","0.3333","0.44","0.6","0.3571","0.303","0.375","0.3939","0.5556","0.375","0.6154","0.3529","0.4688","0.3714","0.56","0.5333","0.5333","0.5","0.2581","0.3939","0.4","0.4","0.3429","0.5313","0.5","0.3429","0.3846","0.55","0.5556","0.3929","0.3636","0.4375","0.4375","0.3333","0.5135","0.5","0.5385","0.3056","0.3333","0.4","0.4286","0.4839","0.375","0.4848","0.6364","0.4688","0.28","0.3214","0.4375","0.4828","0.4348","0.7333","0.5","0.4063","0.5","0.4516","0.5","0.5484","0.4483","0.475"
"piña colada","0.2778","0.3333","0.2979","0.3077","0.3667","0.3667","0.3","0.5333","0.3333","0.2632","0.381","0.4667","0.4222","0.3243","0.2333","0.2759","0.3333","0.3333","0.3333","0.4","0.1143","0.3684","0.3684","0.3","0.359","0.3488","0.2813","0.2571","0.5","0.2941","0.4545","0.4667","0.4211","0.1667","0.12","0.2813","0.2162","0.2813","0.1071","0.4211","0.2059","0.4146","0.1471","0.1944","0.2432","0.3","0.4118","0.2222","0.2653","0.4242","0.2703","0.2143","0.2571","0.4444","0.48","0.5","0.2917","0.3333","0.4","0.3704","0.1842","0.3333","0.2258","0.2692","0.4444","0.3889","0.2258","0.129","0.3421","0.2444","0.4348","0.2581","0.1351","0.2941","0.2941","0.3704","0.25","0.275","0.1951","0.2188","0.4103","0.25","0.35","0.1429","0.3056","0.1714","0.3696","0.2895","0.6452","0.3548","0.2162","0.3226","0.2727","0.3438","0.4688","0.4231"
"port","0.3333","0.5385","0.6364","0.7","0.9","0.6667","0.5","0.4","0.4444","0.8","0.7","0.3333","0.3333","0.3333","0.6364","0.6923","0.8182","0.7778","0.6","0.5455","0.3571","0.8","0.3529","0.3889","0.375","0.8333","0.375","0.5714","0.5455","0.8667","0.7143","0.4167","0.3333","0.5","0.4737","0.5385","0.7143","0.6471","0.7273","0.5","0.5882","0.6154","0.7","0.8","0.4286","0.7273","0.4","0.6667","0.6667","0.5455","0.3","0","0.3571","0.625","0.5","0.5714","0.9167","0.4667","0.5","0.4667","0.8","0.75","0.5882","0.1429","0.2727","0.75","0.375","0.6923","0.2","0.3636","0.4545","0.6429","0.6667","0.5789","0.8571","0.25","0.25","0.25","0.5833","0.4615","0.3077","0.5556","0.4545","0.5","0.5","0.5385","0.8333","0.5714","0.6364","0.1667","0.75","0.3571","0.3684","0.6667","0.2941","0.4444"
"pumpkin","0.5","0.2143","0.5","0.8125","0.5882","0.5714","0.3636","0.3889","0.4667","0.5714","0.6","0.7368","0.5789","0.3571","0.5625","0.6667","0.2778","0.7778","0.4211","0.4783","0.5238","0.4667","0.2609","0.3571","0.2143","0.5","0.2941","0.619","0.5789","0.5294","0.4","0.4286","0.6667","0.4348","0.48","0.4545","0.3","0.75","0.6316","0.3846","0.619","0.6875","0.3158","0.55","0.4444","0.4375","0.4375","0.3077","0.6316","0.2941","0.4","0.3529","0.375","0.3158","0.381","0.6429","0.5238","0.381","0.4286","0.6","0.4167","0.4","0.45","0.5","0.1538","0.2222","0.1538","0.4545","0.4667","0.3333","0.375","0.7619","0.6667","0.3846","0.3889","0.4375","0.25","0.5263","0.6471","0.4286","0.5238","0.4706","0.5385","0.5556","0.4167","0.4118","0.6957","0.5","0.4211","0.45","0.6875","0.4375","0.5417","0.6111","0.6471","0.5"
"raspberry","0.5161","0.5","0.5294","0.6538","0.5676","0.6897","0.6944","0.5952","0.6429","0.6216","0.7632","0.5484","0.7273","0.4333","0.6098","0.7037","0.6667","0.7742","0.6053","0.5946","0.6667","0.6129","0.6585","0.4103","0.6061","0.6296","0.7838","0.5","0.4706","0.6842","0.3462","0.6071","0.619","0.5556","0.4074","0.4815","0.6471","0.6333","0.6944","0.5588","0.5","0.5455","0.5143","0.4138","0.5556","0.5676","0.6","0.6944","0.5789","0.7941","0.4828","0.6","0.6","0.6818","0.6471","0.6667","0.675","0.5641","0.5172","0.6765","0.6667","0.5","0.6452","0.5263","0.4815","0.7","0.6667","0.5769","0.5769","0.6667","0.6111","0.6897","0.4865","0.5385","0.6538","0.625","0.5","0.4146","0.5833","0.5","0.7273","0.4688","0.5","0.4737","0.4583","0.5278","0.4706","0.5278","0.5806","0.65","0.5946","0.7917","0.5161","0.6216","0.7442","0.6667"
"red wine","0.6429","0.5333","0.4","0.5455","0.5","0.2609","0.3","0.3077","0.5","0.6364","0.75","0.5833","0.0909","0.2727","0.7","0.3571","0.6429","0.75","0","0.3333","0.2727","0.5","0.5556","0.24","0.4286","0.1111","0.25","0.25","0.3125","0.3333","0.125","0.2857","0.4","0.2727","0.25","0.375","0.3333","0.5","0.4167","0.3636","0.3571","0.2308","0.1818","0.6667","0.4545","0.5625","0.4167","0.5882","0.4667","0.6","0.6","0.2222","0.2857","0.75","0.6154","0.2353","0.625","0.1333","0.2857","0.125","0.5333","0.4167","0.5294","0.1667","0.2308","0.625","0.0769","0.3846","0.25","0.25","0.1875","0.2353","0.5","0.2941","0.875","0.0909","0.2","0.3636","0.5","0.4","0.7273","0.375","0.6154","0.25","0.25","0","0.52","0.75","0.3333","0.1818","0.4","0.4444","0.2","0.6111","0.5294","0.4615"
"rose hips","0.4516","0.3125","0.4848","0.4412","0.5152","0.5357","0.3929","0.3214","0.5667","0.3684","0.4","0.4815","0.6154","0.5405","0.2647","0.4722","0.4706","0.4872","0.6512","0.5152","0.6087","0.5833","0.55","0.5","0.625","0.4118","0.4643","0.5","0.5556","0.4194","0.5","0.6071","0.4054","0.5172","0.2571","0.5517","0.303","0.4063","0.3704","0.36","0.3636","0.4722","0.4474","0.4595","0.5556","0.4074","0.5806","0.5556","0.4571","0.3636","0.4138","0.4412","0.4545","0.6452","0.4571","0.56","0.3667","0.4103","0.3611","0.4167","0.575","0.6061","0.5385","0.6207","0.4063","0.6429","0.5652","0.4","0.5357","0.5556","0.5938","0.1818","0.3462","0.3929","0.5","0.5185","0.3846","0.4688","0.4857","0.6","0.5","0.5313","0.4857","0.3514","0.4737","0.2667","0.4138","0.5","0.4167","0.5238","0.5294","0.48","0.5","0.5517","0.6296","0.6061"
"rye","0.7647","0.4","0.7273","0.7407","0.7407","0.7222","0.7","0.64","0.75","0.6","0.7143","0.5789","0.7368","0.6667","0.625","0.625","0.8","0.6923","0.56","0.8095","0.6538","0.6111","0.4783","0.6","0.5882","0.5263","0.5","0.7333","0.5833","0.6875","0.6","0.5909","0.6875","0.4706","0.5714","0.6667","0.6429","0.6429","0.625","0.6667","0.6923","0.5882","0.6667","0.75","0.7778","0.5217","0.875","0.8095","0.7727","0.3333","0.5","0.8571","0.6316","0.4","0.4","0.4615","0.5714","0.7","0.4","0.5556","0.6875","0.6","0.6364","0.7647","0.6111","0.5","0.3333","0.5882","0.7619","0.5882","0.5714","0.5909","0.75","0.875","0.619","0.7333","0.625","0.5789","0.9","0.6667","0.7222","0.6667","0.6522","0.7692","0.5714","0.8","0.6429","0.5556","0.4667","0.7308","0.9231","0.6429","0.76","0.64","0.7647","0.4118"
"smoke","0.5909","0.35","0.4667","0.5556","0.6875","0.6111","0.4615","0.5882","0.5652","0.6818","0.75","0.5789","0.7037","0.4","0.7407","0.5263","0.7742","0.8235","0.4","0.5","0.4828","0.2","0.28","0.7","0.5652","0.6207","0.55","0.7059","0.5217","0.5","0.5","0.3929","0.35","0.4444","0.5","0.5263","0.4348","0.75","0.5882","0.6875","0.6667","0.5652","0.6316","0.6667","0.75","0.6522","0.5625","0.4828","0.5769","0.2727","0.4348","0.5714","0.2","0.55","0.4545","0.625","0.8","0.625","0.4286","0.5556","0.7059","0.7368","0.7407","0.44","0.55","0.3636","0.4706","0.6364","0.5909","0.7143","0.5263","0.7143","0.8148","0.5556","0.6471","0.5","0.5417","0.7273","0.7619","0.4783","0.6154","0.7727","0.7059","0.84","0.6667","0.7692","0.64","0.3077","0.5263","0.6667","0.7","0.4","0.5862","0.5769","0.55","0.2667"
"strawberry","0.3939","0.4444","0.6875","0.5","0.4722","0.7576","0.5862","0.4865","0.52","0.3333","0.575","0.4848","0.6286","0.5517","0.2973","0.5938","0.5833","0.4","0.7576","0.5556","0.5882","0.6571","0.5","0.4444","0.5152","0.4324","0.625","0.4231","0.6176","0.4412","0.2619","0.4643","0.6452","0.3","0.1905","0.5313","0.5","0.3548","0.4667","0.5","0.3571","0.5758","0.4286","0.475","0.3256","0.5417","0.3171","0.5625","0.2","0.7436","0.4643","0.4375","0.5333","0.5833","0.6667","0.4706","0.381","0.4211","0.4324","0.4865","0.28","0.3793","0.4286","0.5","0.4706","0.5455","0.5652","0.28","0.56","0.4318","0.4872","0.4516","0.4194","0.4545","0.44","0.4194","0.3571","0.2667","0.625","0.6216","0.7179","0.3548","0.3171","0.3784","0.3611","0.4595","0.48","0.5556","0.5","0.4","0.3438","0.5652","0.5","0.7105","0.5366","0.7143"
"vanilla","0.5263","0.6","0.6364","0.5455","0.7647","0.4444","0.4737","0.5","0.7692","0.8696","0.56","0.7692","0.6364","0.4375","0.5789","0.5714","0.4762","0.6923","0.5909","0.55","0.5789","0.8462","0.4545","0.6842","0.4","0.75","0.5","0.5","0.35","0.6667","0.6429","0.5","0.68","0.4286","0.619","0.3462","0.2941","0.7778","0.3529","0.5","0.64","0.5556","0.65","0.5625","0.4118","0.5455","0.4706","0.1667","0.8571","0.6111","0.25","0.3333","0.3636","0.3125","0.45","0.6429","0.7","0.6111","0.4286","0.3","0.7222","0.25","0.8889","0.5556","0.5652","0.5333","0.5294","0.6875","0.6875","0.5882","0.2857","0.8333","0.6667","0.4167","0.4815","0.375","0.1667","0.6429","0.4","0.5238","0.3846","0.55","0.6875","0.5833","0.52","0.2857","0.7778","0.75","0.5","0.5333","0.6316","0.4118","0.6316","0.5909","0.7","0.65"
"whiskey","0.5897","0.4444","0.6591","0.7838","0.5769","0.5","0.3462","0.3636","0.4706","0.7273","0.8182","0.725","0.4857","0.4545","0.6563","0.4828","0.7097","0.5333","0.5769","0.4242","0.4103","0.6","0.425","0.5333","0.5806","0.7143","0.5455","0.8158","0.52","0.75","0.7353","0.6129","0.6842","0.4737","0.6176","0.4048","0.4054","0.6667","0.7353","0.6222","0.6667","0.5405","0.641","0.65","0.6571","0.7619","0.5357","0.5484","0.7442","0.525","0.4333","0.32","0.2821","0.2778","0.5172","0.4286","0.7778","0.5926","0.6","0.3125","0.6286","0.6207","0.7222","0.4545","0.7419","0.4634","0.2917","0.64","0.4848","0.6316","0.4737","0.6818","0.7027","0.55","0.5","0.5","0.4722","0.5","0.4889","0.6667","0.5429","0.7407","0.825","0.6667","0.6452","0.5135","0.8049","0.6333","0.5405","0.4865","0.8","0.4444","0.5484","0.4839","0.4815","0.3235"
